,지역별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,서울,2169,1831,2082,2104,2044,1922,2109,2042,2038,2118,2032,2162
2,부산,558,500,509,541,619,506,545,537,560,601,544,590
3,대구,629,607,666,686,764,725,696,673,630,692,710,739
4,인천,545,476,602,588,656,547,582,569,543,552,531,551
5,광주,431,377,451,433,464,452,432,473,501,495,487,503
6,대전,397,356,446,373,420,389,389,387,380,418,404,429
7,울산,148,108,145,128,157,130,129,136,144,130,152,135
8,경기,2399,2098,2383,2397,2463,2289,2380,2299,2301,2371,2259,2491
9,강원,449,400,390,428,439,436,433,452,427,419,382,460
10,충북,311,294,309,329,308,302,303,307,283,312,323,298
11,충남,319,309,360,292,354,303,329,305,313,336,378,328
12,전북,513,502,485,493,573,509,553,530,503,505,547,517
13,전남,246,219,253,286,277,246,269,248,236,283,257,284
14,경북,397,332,367,373,352,348,343,335,360,349,399,361
15,경남,492,458,527,457,513,513,500,439,483,513,478,480
16,제주,169,174,164,176,192,193,152,176,146,176,175,187
